gbifID;Especie_POWO032025;Latitude;Longitude;continent;countryC
3868172307;Acianthera cryptantha;-21.80611;-46.13389;SOUTH_AMERICA;BR
3868297490;Acianthera luteola;;;SOUTH_AMERICA;BR
3868307398;Acianthera saurocephala;;;SOUTH_AMERICA;BR
3868308476;Acianthera exarticulata;;;SOUTH_AMERICA;BR
3872974752;Acianthera polystachya;6.18257;-75.64769;SOUTH_AMERICA;CO
3873362796;Acianthera saundersiana;-22.81986;-47.07109;SOUTH_AMERICA;BR
3874287019;Acianthera polystachya;;;SOUTH_AMERICA;CO
3874288745;Acianthera polystachya;;;SOUTH_AMERICA;CO
3893589357;Acianthera sicaria;11.01119;-73.92344;SOUTH_AMERICA;CO
3893589784;Acianthera sicaria;11.01572;-73.92258;SOUTH_AMERICA;CO
3897214317;Acianthera hystrix;-26.46000;-52.20000;SOUTH_AMERICA;BR
3897214421;Acianthera hygrophila;-27.49139;-50.80306;SOUTH_AMERICA;BR
3898022354;Acianthera bragae;;;SOUTH_AMERICA;BR
3898589391;Acianthera polystachya;5.04024;-73.37094;SOUTH_AMERICA;CO
3898589405;Acianthera polystachya;;;SOUTH_AMERICA;CO
3898589495;Acianthera;6.74388;-75.99266;SOUTH_AMERICA;CO
3898589720;Acianthera polystachya;6.23333;-75.53333;SOUTH_AMERICA;CO
3898590474;Acianthera geminicaulina;6.00005;-77.08333;SOUTH_AMERICA;CO
3898590972;Acianthera polystachya;;;SOUTH_AMERICA;CO
3898591550;Acianthera sicaria;6.66667;-76.33333;SOUTH_AMERICA;CO
3898591704;Acianthera;;;SOUTH_AMERICA;CO
3898592548;Acianthera polystachya;;;SOUTH_AMERICA;CO
3898592926;Acianthera polystachya;5.77241;-75.36237;SOUTH_AMERICA;CO
3898592981;Acianthera polystachya;6.23940;-75.30990;SOUTH_AMERICA;CO
3898593028;Acianthera;6.38025;-76.20994;SOUTH_AMERICA;CO
3898594329;Acianthera;5.97500;-75.36194;SOUTH_AMERICA;CO
3898596357;Acianthera sicaria;6.75000;-76.38333;SOUTH_AMERICA;CO
3898596419;Acianthera polystachya;6.33800;-75.44800;SOUTH_AMERICA;CO
3898596729;Acianthera polystachya;;;SOUTH_AMERICA;CO
3898596735;Acianthera fockei;-3.80481;-70.27442;SOUTH_AMERICA;CO
3898596821;Acianthera polystachya;4.43786;-75.48164;SOUTH_AMERICA;CO
3898596839;Acianthera sicaria;4.43786;-75.48164;SOUTH_AMERICA;CO
3898597124;Acianthera;;;SOUTH_AMERICA;CO
3898598329;Acianthera;6.80000;-75.13333;SOUTH_AMERICA;CO
3898598932;Acianthera serratifolia;;;SOUTH_AMERICA;CO
3898599216;Acianthera;;;SOUTH_AMERICA;CO
3898599375;Acianthera polystachya;5.93333;-75.41667;SOUTH_AMERICA;CO
3898599511;Acianthera polystachya;6.08333;-75.63333;SOUTH_AMERICA;CO
3898600110;Acianthera polystachya;6.05314;-75.63541;SOUTH_AMERICA;CO
3898600263;Acianthera sicaria;5.29657;-75.71528;SOUTH_AMERICA;CO
3898601218;Acianthera polystachya;;;SOUTH_AMERICA;CO
3898601436;Acianthera sicaria;6.75000;-76.41667;SOUTH_AMERICA;CO
3898601518;Acianthera polystachya;7.00224;-75.50146;SOUTH_AMERICA;CO
3898601523;Acianthera polystachya;7.01092;-75.50283;SOUTH_AMERICA;CO
3898601541;Acianthera polystachya;7.04072;-75.49799;SOUTH_AMERICA;CO
3898602136;Acianthera polystachya;;;SOUTH_AMERICA;CO
3899631327;Acianthera;;;SOUTH_AMERICA;CO
3899640316;Acianthera fenestrata;;;SOUTH_AMERICA;BR
3899643317;Acianthera fenestrata;;;SOUTH_AMERICA;BR
3902073326;Acianthera sonderiana;-27.88166;-49.57521;SOUTH_AMERICA;BR
3902392893;Acianthera sicaria;3.25766;-74.68552;SOUTH_AMERICA;CO
3902414046;Acianthera sonderiana;-31.58372;-52.63868;SOUTH_AMERICA;BR
3902892037;Acianthera sonderiana;-25.08043;-51.83090;SOUTH_AMERICA;BR
3910003319;Acianthera polystachya;5.95481;-75.40494;SOUTH_AMERICA;CO
